bird_id,theme,head,eyes,body,tail,wingLeft,wingRight,feet,beak
2164,denim,1f409,1f9df,var3,var3,var3,var3,var3,1f9df
2165,olive,var1,rasta,var1,var1,var1,var1,var1,rasta
2166,seafoam,var2,var1,var2,var2,1f409,var2,var2,1f54a-fe0f
2167,defaultyellow,var0,1f60d,var0,var0,var0,1f916,var0,1f60d
2168,red,var2,1f9df,var2,1f525,var2,1f525,var2,1f9df
2169,lola,var1,1f62c,var1,1f525,var1,var1,var1,1f62c
2171,seafoam,1f409,var3,var2,var2,var2,var2,var2,1f54a-fe0f
2172,coral,var3,263a-fe0f,var3,var3,var3,var3,var3,263a-fe0f
2173,defaultyellow,var4,1f970,var4,var4,var4,var4,var4,1f970
2174,icicle,1f30b,263a-fe0f,var3,var3,var3,var3,var3,263a-fe0f
2175,pumpkin,1fa78,1f609,var2,1fa78,var2,var2,var2,1f609
2177,blue,var2,1f92f,var2,var2,var2,1f30a,var2,1f92f
2178,defaultyellow,var3,1f609,var3,var3,1f916,var3,var3,1f609
2182,denim,1f48e,1f609,var3,var3,var3,var3,var3,1f609
2184,electrik,var0,1f60f,var0,var0,var0,var0,var0,1f60f
2185,nightwing,1f916,1f62c,var0,var0,var0,var0,var0,1f62c
2186,denim,polkadot,1f609,var0,polkadot,var0,var0,var0,1f609
2187,duckeggblue,1f916,263a-fe0f,var1,var1,var1,var1,var1,263a-fe0f
2188,blue,1f4a7,1f92f,var3,var3,var3,1f4a7,var3,1f92f
2189,ocean,var3,1f609,var3,var3,var3,1f30a,var3,1f609
2190,chilipepper,var4,rasta,var4,1fa78,var4,1fa78,var4,rasta
2191,defaultyellow,var2,var2,var2,var2,var2,var2,var2,1f54a-fe0f
2192,duckeggblue,polkadot,var1,var0,var0,var0,var0,var0,1f54a-fe0f
2193,black,1f30b,1f60d,var3,var3,var3,var3,var3,1f60d
2194,bandicoot,var1,1f9df,var1,1fa78,var1,1fa78,var1,1f9df
2195,lola,var3,263a-fe0f,var3,var3,var3,1f98b,var3,263a-fe0f
2198,bandicoot,var3,1f970,var3,1f525,var3,var3,var3,1f970
2202,denim,var1,1f32b,var1,var1,1f48e,var1,var1,var1
2207,defaultyellow,var2,1f60d,var2,1f30b,var2,var2,var2,1f60d
2209,eggplant,var1,1f60e,var1,var1,var1,var1,var1,1f60e
2210,seafoam,var3,1f970,var3,1f409,var3,var3,var3,1f970
2214,defaultyellow,var2,1f92f,var2,polkadot,var2,var2,var2,1f92f
2215,streetlime,var1,1f60f,var1,var1,var1,var1,var1,1f60f
2216,red,var0,1f60f,var0,var0,var0,var0,var0,1f60f
2217,hell,var3,1f32b,var3,var3,var3,var3,var3,var4
2218,nightwing,var4,263a-fe0f,var4,1f916,var4,var4,var4,263a-fe0f
2219,defaultyellow,2600,1f62c,var1,var1,var1,var1,var1,1f62c
2220,denim,1f48e,1f60d,var4,var4,var4,var4,var4,1f60d
2221,nightwing,var0,1f92f,var0,var0,var0,1f916,var0,1f92f
2222,pinegreen,var0,1f970,var0,var0,var0,1f9be,var0,1f970
2224,pinegreen,var3,1f609,var3,var3,var3,var3,var3,1f609
2225,defaultyellow,var0,1f60d,var0,var0,1f916,var0,var0,1f60d
2228,retrosteel,var1,1f609,var1,var1,1f32a-fe0f,var1,var1,1f609
2229,olive,var3,1f60f,var3,var3,var3,var3,var3,1f60f
2230,nightwing,1f916,1f92f,var4,var4,var4,var4,var4,1f92f
2232,defaultyellow,1f32a-fe0f,rasta,var0,var0,var0,var0,var0,rasta
2234,lola,var0,1f609,var0,1f916,var0,1f916,var0,1f609
2235,lavender,var4,rasta,var4,var4,polkadot,polkadot,var4,rasta
2237,lola,1fa78,1f32b,var2,1fa78,var2,var2,var2,var1
2244,oddworldabe,var2,1f32b,var2,var2,1f98b,var2,var2,var2
2245,nebula,var3,1f60f,var3,var3,1f916,var3,var3,1f60f
2246,denim,var1,1f60d,var1,1f48e,var1,var1,var1,1f60d
2247,defaultyellow,var1,1f32b,var1,var1,1f98b,var1,var1,var2
2248,nightwing,1f409,1f62c,var0,var0,var0,var0,var0,1f62c
2249,punkblue,var3,263a-fe0f,var3,var3,var3,var3,var3,263a-fe0f
2250,red,var1,1f970,var1,var1,1f525,1f525,var1,1f970
2251,denim,var0,1f60d,var0,var0,1f4a7,var0,var0,1f60d
2252,red,var3,rasta,var3,var3,1f525,var3,var3,rasta
2253,mint,var0,1f976,var0,var0,var0,var0,var0,1f976
2254,defaultyellow,var0,263a-fe0f,var0,var0,var0,1f916,var0,263a-fe0f
2255,retrosteel,var0,1f60e,var0,var0,1f48e,var0,var0,1f60e
2256,bandicoot,var2,1f60f,var2,var2,var2,1f525,var2,1f60f
2257,chocolate,var4,263a-fe0f,var4,var4,var4,var4,var4,263a-fe0f
2258,seafoam,1f409,1f32b,var4,var4,var4,var4,var4,var4
2259,duckeggblue,var4,1f609,var4,var4,var4,var4,var4,1f609
2260,seafoam,1f409,1f62c,var2,var2,var2,var2,var2,1f62c
2261,defaultyellow,var3,1f9df,var3,var3,1f9df,var3,var3,1f9df
2262,kusama,var2,1f60e,var2,var2,var2,var2,var2,1f60e
2263,coral,var4,263a-fe0f,var4,var4,var4,var4,var4,263a-fe0f
2264,defaultyellow,var2,1f609,var2,1f30b,var2,var2,var2,1f609
2265,mango,var3,1f92f,var3,var3,var3,var3,var3,1f92f
2266,retrosteel,var1,1f60e,var1,var1,var1,1f9df,var1,1f60e
2267,defaultyellow,var3,1f609,var3,var3,var3,var3,var3,1f609
2268,spacepoptart,var4,1f609,var4,var4,var4,var4,var4,1f609
2269,bandicoot,var0,1f976,var0,var0,var0,1f98b,var0,1f976
